creator,city,degree,idcardno,province,released_date,occupation,age,school,group
WangZheng,ST,PhD,440183197802024311,GD,20220101,Researcher,38,QH,MEM_XA01
LiMing,GZ,PhD,440283197802024332,GD,20220101,Director,36,QH,MEM_XA02
DuWei,GZ,Bachelor,440383197802024332,GD,20220102,Engineer,30,BD,MEM_XA03
GaoShen,SZ,Bachelor,440483197802024332,GD,20220103,Engineer,27,BD,MEM_XA01
GaoZhan,ShenZhen,PhD,440583197802024332,GD,20220104,Researcher,31,SD,MEM_XA02
XiaoZheng,Guangzhou,Master,440683197802024332,GD,20220105,Researcher,34,GD,MEM_XA03
DuWuBing,SZ,Master,440783197802024332,GD,20220106,Engineer,28,GD,MEM_XA01
ChenApple,BJ,PhD,440883197802024382,NA,20220107,Researcher,29,QH,MEM_XA02
WuXinXin,CD,Master,440983197802024339,SC,20220108,Engineer,29,ZKY,MEM_XA03
LiuHong,HZ,PhD,440083197802024330,ZJ,20220109,Researcher,39,ZKY,MEM_XA01
XiaoBai,HZ,Bachelor,440113197802024511,ZJ,20220210,Developer,25,ZKY,MEM_XA02
ZhangXiaoBai,HZ,Bachelor,440123197802024522,GD,20220211,Developer,27,ZKY,MEM_XA04
